Episode,Reward,Epsilon,Alpha,Steps,Max_Q
219,32.59067122124773,0.33362200135903064,0.19390064572702267,100,19.13411647951684
220,39.10715635840616,0.33195389135223546,0.19351284443556863,100,19.13411647951684
221,1.4168530668392063,0.3302941218954743,0.1931258187466975,100,19.13411647951684
222,9.72320986370789,0.32864265128599696,0.19273956710920406,100,19.13411647951684
223,15.282661762435737,0.326999438029567,0.19235408797498568,100,19.13411647951684
224,22.137226609606945,0.3253644408394192,0.19196937979903572,100,19.13411647951684
225,8.239363141608052,0.3237376186352221,0.19158544103943764,100,19.13411647951684
226,9.74957046994659,0.322118930542046,0.19120227015735874,100,19.13411647951684
227,10.698148825773892,0.32050833588933575,0.19081986561704403,100,19.13411647951684
228,9.710331796325082,0.31890579420988907,0.19043822588580994,100,19.13411647951684
229,4.025864789494746,0.3173112652388396,0.19005734943403832,100,19.13411647951684
230,14.88973643415408,0.3157247089126454,0.18967723473517026,100,19.13411647951684
231,10.912134810642335,0.3141460853680822,0.1892978802656999,100,19.13411647951684
232,25.29625794310542,0.3125753549412418,0.1889192845051685,100,19.13411647951684
233,13.625011403134966,0.31101247816653554,0.18854144593615818,100,19.13411647951684
234,13.027403461500773,0.30945741577570285,0.18816436304428585,100,19.13411647951684
235,11.487628131928268,0.3079101286968243,0.1877880343181973,100,19.13411647951684
236,-17.384986403713054,0.3063705780533402,0.18741245824956088,100,19.13411647951684
237,2.4266609680541933,0.30483872516307353,0.18703763333306175,100,19.13411647951684
238,-25.93227184356607,0.3033145315372582,0.18666355806639565,100,19.13411647951684
239,38.57413327757743,0.3017979588795719,0.18629023095026284,100,19.13411647951684
240,-11.244928374870636,0.30028896908517405,0.1859176504883623,100,19.13411647951684
241,39.124632577106404,0.2987875242397482,0.1855458151873856,100,19.13411647951684
242,-1.3805155097039912,0.29729358661854943,0.1851747235570108,100,19.13411647951684
243,25.694549373560616,0.29580711868545667,0.1848043741098968,100,19.13411647951684
244,27.5807000324466,0.2943280830920294,0.18443476536167702,100,19.13411647951684
245,23.890670506820435,0.29285644267656924,0.18406589583095365,100,19.13411647951684
246,26.74266425988269,0.2913921604631864,0.18369776403929175,100,19.13411647951684
247,3.883221498665959,0.28993519966087045,0.18333036851121318,100,19.13411647951684
248,23.71302478444011,0.2884855236625661,0.18296370777419074,100,19.13411647951684
249,10.7473126115723,0.28704309604425327,0.18259778035864235,100,19.13411647951684
250,26.427311012139725,0.285607880564032,0.18223258479792506,100,19.13411647951684
251,21.669117143988146,0.28417984116121187,0.18186811962832922,100,19.13411647951684
252,18.794602813412638,0.2827589419554058,0.18150438338907257,100,19.13411647951684
253,25.74126745005877,0.28134514724562876,0.18114137462229443,100,19.13411647951684
254,6.25017900559824,0.2799384215094006,0.18077909187304983,100,19.13411647951684
255,24.1886576856556,0.27853872940185365,0.18041753368930374,100,19.13411647951684
256,16.71550075933237,0.27714603575484437,0.18005669862192514,100,19.13411647951684
257,10.473214905978544,0.2757603055760701,0.17969658522468127,100,19.13411647951684
258,15.171714943982938,0.2743815040481898,0.17933719205423193,100,19.13411647951684
259,10.667260983187727,0.2730095965279488,0.17897851767012346,100,19.13411647951684
260,10.991316495100095,0.27164454854530906,0.1786205606347832,100,19.13411647951684
261,10.100250897340079,0.2702863258025825,0.17826331951351365,100,19.13411647951684
262,21.282159203215855,0.2689348941735696,0.1779067928744866,100,19.13411647951684
263,28.805053991023414,0.26759021970270175,0.17755097928873761,100,19.13411647951684
264,20.465031422685485,0.2662522686041882,0.17719587733016015,100,19.13411647951684
265,20.34767374141195,0.2649210072611673,0.17684148557549986,100,19.13411647951684
266,26.79426058881299,0.26359640222486147,0.17648780260434885,100,19.13411647951684
267,24.929176154523162,0.26227842021373715,0.17613482699914015,100,19.13411647951684
